Timestamp,Did you pass your May '23 Level II exam? ,What other designations have you obtained or are actively pursuing?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask questions on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision/review)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What degrees have you obtained?,What did you average on the CFAI Mocks (in %)?,What did you average on the Kaplan Schweser Mocks (in %)?,What did you average on the Mark Meldrum Mocks (in %)?,"How confident did you feel in your exam performance, right after the exam?",How many hours did you study for the exam?,What was your professional situation while studying for the exam?,What resources did you utilize in studying for the Level II exam?,Did you ask question on r/CFA?,Did you use search to find answers on r/CFA?,When did you begin studying for the exam?,When did you finish the curriculum (start revision)?,Was it your first time sitting for Level II?,How many full mock exams did you take?,How would you rank the four most challenging topics to study for the exam? [Hardest],How would you rank the four most challenging topics to study for the exam? [2nd hardest],How would you rank the four most challenging topics to study for the exam? [3rd hardest],How would you rank the four most challenging topics to study for the exam? [4th hardest],"In hindsight, what could you have done to improve your score?",Maximizing the use of question banks,Maximizing the number of mocks taken,Maximizing the number of hours spent on revision,Starting revision as early as possible,Focusing on remembering facts over understanding the material (for the hardest parts of the curriculum),Learning formulas by heart,Spaced repetition,Requesting help online,Why are you undertaking the journey towards the CFA?,What is your age?,Is English your first language?,To what capacity did you utilize r/CFA?,Has your success in the CFA Level 1 helped your career so far?,How many years of professional investment-related experience do you have?,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Ethics and Professional Standards,Quantitative Methods,Economics,Financial Statement Analysis,Corporate Finance,Equity,Fixed Income,Derivatives,Alternative Investments,Portfolio Management,Any feedback?
7/7/2023 18:33:16,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",65,,66,5,Between 450 and 500 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), UWorld QBank, Discord Study Group, AnalystNotes",No,Yes,10 months prior,2 months prior,Yes,3,Derivatives,Financial Reporting & Analysis,Fixed Income,Quantitative Methods,"Spend more time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,4,5,4,3,5,5,5,"I want to improve my professional marketability, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,User - I come here to see if there is help,"Yes, I have leveraged it into finding a job",3-5,Above 70%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 18:38:41,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",70,,,4,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Other",No,No,6 months prior,1.5 months prior,Yes,2,Derivatives,Quantitative Methods,Portfolio Management,Fixed Income,"Do more practice questions, Spend more time on review, Start preparing for the exam earlier",5,3,4,5,1,1,1,1,"I want to improve my professional marketability, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,User - I come here to see if there is help,"Yes, it has moderately helped",0,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 18:40:01,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related), MBA",65,,55,2,Over 600 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI Physical Books, CFAI PDF Books, Mark Meldrum (paid), 300hours.com, Tutor",No,Yes,9 months prior,2 months prior,Yes,5,Derivatives,Financial Reporting & Analysis,Quantitative Methods,Portfolio Management,Spend more time on review,3,3,5,4,2,4,5,3,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-50,No,User - I come here to see if there is help,"Yes, it has moderately helped",3-5,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Below 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 18:45:53,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",73,,65,4,Over 600 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (paid)",Yes,No,5 months prior,4 months prior,Yes,7,Ethics,Financial Reporting & Analysis,Derivatives,Corporate Issuers,Do more practice questions,5,3,5,5,2,3,1,4,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,I practically lived there,"Yes, it has moderately helped",1-2,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,Add a question for if someone has deferred. I have deferred therefore I will have much more study hours then someone who just started. 
7/7/2023 18:51:23,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",67,,59,4,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Mark Meldrum (free)",No,No,7 months prior,1.5 months prior,Yes,4,Quantitative Methods,Financial Reporting & Analysis,Corporate Issuers,Equity Investments,"Do more practice questions, Take fewer mock exams, Finish the curriculum earlier, Spend less time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,4,3,2,4,5,5,4,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,Contributor - I comment and help others if I can,"Yes, it has moderately helped",5-7,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 18:58:30,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",62,65,,3,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Mocks, Kaplan Schweser Secret Sauce",No,Yes,5 months prior,1.5 months prior,Yes,6,Derivatives,Fixed Income,Ethics,Financial Reporting & Analysis,"Do more practice questions, Take fewer mock exams, Finish the curriculum earlier, Spend more time on review, Write more notes",5,4,5,5,1,5,3,2,"I want to improve my professional marketability, My employer is encouraging me to pursue the CFA exams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,1-2,Between 70% and 50%,Below 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 19:03:46,Yes,None,"Bachelor's Degree / Pre-Work Masters (Non-Finance, Econ, Accounting related)",,,,3,Between 500 and 550 hours,Part-Time Work,"CFAI PDF Books, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Mark Meldrum (paid), UWorld QBank",Yes,Yes,7 months prior,1 month prior,Yes,1,Quantitative Methods,Financial Reporting & Analysis,Derivatives,Equity Investments,"Take more mock exams, Choose a better prep provider",4,4,4,5,3,3,5,3,I want to challenge myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-34,Yes,Contributor - I comment and help others if I can,"Yes, it has moderately helped",5-7,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 19:15:13,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,,,5,Between 500 and 550 hours,Full-Time Work,"CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",No,Yes,7 months prior,1 month prior,Yes,0,Quantitative Methods,Derivatives,Economics,Portfolio Management,"Finish the curriculum earlier, Spend more time on review, Practice spaced repetition (flashcards, coming back to topics often)",5,1,5,5,3,5,5,4,"I want to improve my professional marketability, I want to change careers, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,User - I come here to see if there is help,"Yes, it has moderately helped",1-2,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 19:19:09,Yes,CIMA,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",83,,,2,Between 500 and 550 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI Physical Books, Mark Meldrum (paid), UWorld QBank, IFT",Yes,Yes,9 months prior,2.5 months prior,Yes,9,Quantitative Methods,Derivatives,Financial Reporting & Analysis,Equity Investments,Other,5,5,5,5,2,5,4,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-39,Yes,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,10+,Between 70% and 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 19:25:57,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",78,,,4,Between 200 and 250 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Books",No,No,3 months prior,1.5 months prior,Yes,2,Ethics,Quantitative Methods,Derivatives,Fixed Income,I do not believe I could have done anything specific to improve my score,5,5,5,3,2,4,3,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,"If I see it on my front page and the topic interests me, I'll check it out","Yes, it has moderately helped",3-5,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 19:27:11,No,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",,50,,1,Between 350 and 400 hours,Full-Time Work,"Kaplan Schweser Mocks, Kaplan Schweser QBank, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, Chalk & Board",No,No,6 months prior,1 month prior,Yes,10 +,Economics,Financial Reporting & Analysis,Ethics,Corporate Issuers,"Do more practice questions, Take fewer mock exams, Finish the curriculum earlier, Spend more time on review, Spend more time on formulas, Choose a better prep provider, Start preparing for the exam earlier, Write more notes, Practice spaced repetition (flashcards, coming back to topics often)",5,3,5,5,3,5,5,5,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to change careers, I want a higher salary",25-29,Yes,Not at all,It has had no impact on my career so far,0,,,,,,,,,,,,,,,,,,,,,
7/7/2023 19:42:10,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",64,,,3,Between 250 and 300 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, Kaplan Schweser Books",No,Yes,3 months prior,1 month prior,Yes,3,Derivatives,Economics,Ethics,Quantitative Methods,"Do more practice questions, Finish the curriculum earlier, Spend more time on review, Spend more time on formulas",5,3,4,3,2,2,3,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,User - I come here to see if there is help,"Yes, I have leveraged it into finding a job",1-2,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 19:49:41,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",52,,63,4,Between 200 and 250 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), 300hours.com",No,Yes,6 months prior,1 month prior,Yes,7,Derivatives,Fixed Income,Quantitative Methods,Economics,"Do more practice questions, Finish the curriculum earlier, Spend more time on review",2,5,1,1,3,4,2,4,"I want to improve my professional marketability, I want to change careers, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,Yes,User - I come here to see if there is help,It has had no impact on my career so far,0-1,Between 70% and 50%,Between 70% and 50%,Below 50%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 19:54:11,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",80,,70,3,Between 300 and 350 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid)",Yes,No,6 months prior,3 months prior,Yes,6,Ethics,Derivatives,Financial Reporting & Analysis,Portfolio Management,"Do more practice questions, Take more mock exams, Finish the curriculum earlier, Spend more time on review",5,5,5,4,3,5,4,4,"I want to improve my professional marketability, I want to challenge myself, My employer is encouraging me to pursue the CFA exams, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,"If I see it on my front page and the topic interests me, I'll check it out",It has had no impact on my career so far,2-3,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
7/7/2023 20:02:15,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",74,,,3,Between 350 and 400 hours,Full-Time Work,"CFAI Mocks, CFAI QBank, CFAI PDF Books, Mark Meldrum (paid), Discord Study Group, ChatGPT",No,Yes,6 months prior,0.5 month prior,No,3,Derivatives,Financial Reporting & Analysis,Fixed Income,Portfolio Management,"Do more practice questions, Finish the curriculum earlier, Practice spaced repetition (flashcards, coming back to topics often)",4,2,4,4,3,3,2,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to challenge myself, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,Yes,"If I see it on my front page and the topic interests me, I'll check it out","Yes, I have leveraged it into finding a job",1-2,Above 70%,Above 70%,Below 50%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Below 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 20:09:55,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",73,,,5,Between 500 and 550 hours,Full-Time Work,"CFAI Mocks, Mark Meldrum (paid), ChatGPT",No,Yes,6 months prior,4 months prior,Yes,2,Quantitative Methods,Derivatives,Financial Reporting & Analysis,Economics,I do not believe I could have done anything specific to improve my score,5,3,5,5,3,5,3,4,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want a higher salary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,I practically lived there,It has had no impact on my career so far,1-2,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Between 70% and 50%,Between 70% and 50%,Above 70%,Between 70% and 50%,,,,,,,,,,,
7/7/2023 20:13:00,Yes,None,"Bachelor's Degree / Pre-Work Masters (Finance, Econ, Accounting related)",73,,,4,Between 200 and 250 hours,Full-Time Work,"CFAI Mocks, Kaplan Schweser Books, Kaplan Schweser Secret Sauce, UWorld QBank, 300hours.com",No,Yes,5 months prior,1.5 months prior,Yes,3,Derivatives,Financial Reporting & Analysis,Portfolio Management,Quantitative Methods,"Do more practice questions, Finish the curriculum earlier, Practice spaced repetition (flashcards, coming back to topics often)",5,3,4,4,2,5,4,2,"I want to improve my professional marketability, I want to learn what the CFA curriculum has to offer, I want to change careers, I want to challenge myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-29,No,Contributor - I comment and help others if I can,It has had no impact on my career so far,2-3,Above 70%,Between 70% and 50%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,Above 70%,,,,,,,,,,,
